Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,1,0,0,100
10,2,1,0,0,100
20,3,1,0,0,100
30,4,1,0,0,100
40,5,1,0,0,100
50,6,1,0,0,100
60,7,1,0,0,100
70,8,1,0,0,100
80,9,1,0,0,100
90,10,1,0,0,100
100,11,1,0,0,100
110,12,1,0,0,100
120,13,1,0,0,100
130,14,1,0,0,100
140,15,1,0,0,100
150,16,1,0,0,100
160,17,1,0,0,100
1,1,0.8361048845331804,0,1,83.61048845
11,2,0.8361048845331804,0,1,83.61048845
21,3,0.8361048845331804,0,1,83.61048845
31,4,0.8361048845331804,0,1,83.61048845
41,5,0.8361048845331804,0,1,83.61048845
51,6,0.8361048845331804,0,1,83.61048845
61,7,0.8361048845331804,0,1,83.61048845
71,8,0.8361048845331804,0,1,83.61048845
81,9,0.8361048845331804,0,1,83.61048845
91,10,0.8361048845331804,0,1,83.61048845
101,11,0.8361048845331804,0,1,83.61048845
111,12,0.8361048845331804,0,1,83.61048845
121,13,0.8361048845331804,0,1,83.61048845
131,14,0.8361048845331804,0,1,83.61048845
141,15,0.8361048845331804,0,1,83.61048845
151,16,0.8361048845331804,0,1,83.61048845
161,17,0.8361048845331804,0,1,83.61048845
2,1,0.6990729181813942,0,2,69.90729182
12,2,0.6990729181813942,0,2,69.90729182
22,3,0.6990729181813942,0,2,69.90729182
32,4,0.6990729181813942,0,2,69.90729182
42,5,0.6990729181813942,0,2,69.90729182
52,6,0.6990729181813942,0,2,69.90729182
62,7,0.6990729181813942,0,2,69.90729182
72,8,0.6990729181813942,0,2,69.90729182
82,9,0.6990729181813942,0,2,69.90729182
92,10,0.6990729181813942,0,2,69.90729182
102,11,0.6990729181813942,0,2,69.90729182
112,12,0.6990729181813942,0,2,69.90729182
122,13,0.6990729181813942,0,2,69.90729182
132,14,0.6990729181813942,0,2,69.90729182
142,15,0.6990729181813942,0,2,69.90729182
152,16,0.6990729181813942,0,2,69.90729182
162,17,0.6990729181813942,0,2,69.90729182
3,1,0.5844977872403472,0,3,58.44977872
13,2,0.5844977872403472,0,3,58.44977872
23,3,0.5844977872403472,0,3,58.44977872
33,4,0.5844977872403472,0,3,58.44977872
43,5,0.5844977872403472,0,3,58.44977872
53,6,0.5844977872403472,0,3,58.44977872
63,7,0.5844977872403472,0,3,58.44977872
73,8,0.5844977872403472,0,3,58.44977872
83,9,0.5844977872403472,0,3,58.44977872
93,10,0.5844977872403472,0,3,58.44977872
103,11,0.5844977872403472,0,3,58.44977872
113,12,0.5844977872403472,0,3,58.44977872
123,13,0.5844977872403472,0,3,58.44977872
133,14,0.5844977872403472,0,3,58.44977872
143,15,0.5844977872403472,0,3,58.44977872
153,16,0.5844977872403472,0,3,58.44977872
